Dataset: chameleon
Epoch:0030 train loss:1.236 acc:62.73 | val loss:1.283 acc:65.84
Epoch:0060 train loss:0.901 acc:75.82 | val loss:0.994 acc:75.58
Epoch:0090 train loss:0.651 acc:86.72 | val loss:0.807 acc:78.33
Epoch:0120 train loss:0.490 acc:90.93 | val loss:0.716 acc:77.50
Epoch:0150 train loss:0.449 acc:90.75 | val loss:0.675 acc:77.37
Epoch:0180 train loss:0.402 acc:91.67 | val loss:0.663 acc:78.19
Epoch:0210 train loss:0.344 acc:91.85 | val loss:0.658 acc:77.09
Epoch:0240 train loss:0.288 acc:93.68 | val loss:0.637 acc:78.74
Epoch:0270 train loss:0.299 acc:92.95 | val loss:0.656 acc:77.78
Epoch:0300 train loss:0.266 acc:94.41 | val loss:0.652 acc:78.46
0 : 77.63
Epoch:0030 train loss:1.275 acc:61.08 | val loss:1.320 acc:61.04
Epoch:0060 train loss:0.943 acc:78.39 | val loss:1.052 acc:72.98
Epoch:0090 train loss:0.689 acc:86.36 | val loss:0.891 acc:73.66
Epoch:0120 train loss:0.516 acc:89.56 | val loss:0.807 acc:74.07
Epoch:0150 train loss:0.438 acc:90.66 | val loss:0.768 acc:74.76
Epoch:0180 train loss:0.391 acc:90.57 | val loss:0.749 acc:74.49
Epoch:0210 train loss:0.342 acc:93.32 | val loss:0.737 acc:75.03
Epoch:0240 train loss:0.317 acc:93.22 | val loss:0.743 acc:74.21
Epoch:0270 train loss:0.306 acc:92.86 | val loss:0.745 acc:74.07
1 : 78.29
Epoch:0030 train loss:1.220 acc:64.19 | val loss:1.258 acc:59.95
Epoch:0060 train loss:0.864 acc:78.21 | val loss:0.999 acc:73.25
Epoch:0090 train loss:0.634 acc:87.64 | val loss:0.812 acc:78.05
Epoch:0120 train loss:0.505 acc:89.74 | val loss:0.716 acc:78.74
Epoch:0150 train loss:0.434 acc:90.93 | val loss:0.678 acc:79.97
Epoch:0180 train loss:0.393 acc:91.48 | val loss:0.670 acc:78.46
Epoch:0210 train loss:0.351 acc:93.04 | val loss:0.656 acc:79.42
Epoch:0240 train loss:0.325 acc:92.77 | val loss:0.634 acc:80.38
Epoch:0270 train loss:0.292 acc:94.23 | val loss:0.659 acc:78.33
Epoch:0300 train loss:0.310 acc:91.67 | val loss:0.647 acc:80.38
Epoch:0330 train loss:0.268 acc:93.68 | val loss:0.651 acc:80.11
Epoch:0360 train loss:0.264 acc:94.51 | val loss:0.677 acc:78.33
2 : 78.95
Epoch:0030 train loss:1.258 acc:60.90 | val loss:1.304 acc:67.22
Epoch:0060 train loss:0.891 acc:79.49 | val loss:1.012 acc:73.94
Epoch:0090 train loss:0.623 acc:87.45 | val loss:0.831 acc:75.03
Epoch:0120 train loss:0.488 acc:89.65 | val loss:0.753 acc:76.13
Epoch:0150 train loss:0.410 acc:90.38 | val loss:0.701 acc:76.68
Epoch:0180 train loss:0.372 acc:90.11 | val loss:0.694 acc:75.99
Epoch:0210 train loss:0.351 acc:92.03 | val loss:0.698 acc:76.54
Epoch:0240 train loss:0.331 acc:91.03 | val loss:0.696 acc:77.37
Epoch:0270 train loss:0.297 acc:92.03 | val loss:0.681 acc:77.50
Epoch:0300 train loss:0.301 acc:91.21 | val loss:0.706 acc:76.13
Epoch:0330 train loss:0.251 acc:93.32 | val loss:0.718 acc:76.68
3 : 78.07
Epoch:0030 train loss:1.263 acc:61.17 | val loss:1.290 acc:68.18
Epoch:0060 train loss:0.924 acc:79.49 | val loss:1.031 acc:74.76
Epoch:0090 train loss:0.719 acc:83.61 | val loss:0.890 acc:74.76
Epoch:0120 train loss:0.558 acc:88.37 | val loss:0.794 acc:75.86
Epoch:0150 train loss:0.480 acc:88.00 | val loss:0.736 acc:76.95
Epoch:0180 train loss:0.424 acc:88.74 | val loss:0.728 acc:75.58
Epoch:0210 train loss:0.374 acc:91.58 | val loss:0.700 acc:77.50
Epoch:0240 train loss:0.349 acc:92.12 | val loss:0.711 acc:76.95
Epoch:0270 train loss:0.342 acc:90.38 | val loss:0.714 acc:77.37
Epoch:0300 train loss:0.319 acc:91.48 | val loss:0.750 acc:76.27
4 : 79.17
Epoch:0030 train loss:1.267 acc:56.04 | val loss:1.298 acc:58.98
Epoch:0060 train loss:0.910 acc:78.94 | val loss:1.042 acc:72.29
Epoch:0090 train loss:0.662 acc:85.71 | val loss:0.877 acc:74.07
Epoch:0120 train loss:0.516 acc:88.46 | val loss:0.773 acc:74.35
Epoch:0150 train loss:0.462 acc:89.38 | val loss:0.726 acc:76.13
Epoch:0180 train loss:0.395 acc:90.38 | val loss:0.726 acc:75.17
Epoch:0210 train loss:0.355 acc:90.20 | val loss:0.708 acc:75.03
Epoch:0240 train loss:0.338 acc:90.66 | val loss:0.711 acc:74.90
Epoch:0270 train loss:0.329 acc:89.65 | val loss:0.707 acc:74.90
Epoch:0300 train loss:0.296 acc:92.22 | val loss:0.691 acc:76.27
Epoch:0330 train loss:0.308 acc:89.84 | val loss:0.704 acc:76.82
Epoch:0360 train loss:0.261 acc:92.77 | val loss:0.689 acc:76.95
Epoch:0390 train loss:0.252 acc:92.40 | val loss:0.719 acc:76.82
5 : 78.07
Epoch:0030 train loss:1.275 acc:62.18 | val loss:1.315 acc:63.10
Epoch:0060 train loss:0.935 acc:79.49 | val loss:1.041 acc:75.31
Epoch:0090 train loss:0.674 acc:85.53 | val loss:0.855 acc:77.64
Epoch:0120 train loss:0.547 acc:87.09 | val loss:0.766 acc:77.50
Epoch:0150 train loss:0.454 acc:89.10 | val loss:0.740 acc:77.37
Epoch:0180 train loss:0.388 acc:91.85 | val loss:0.719 acc:77.37
Epoch:0210 train loss:0.355 acc:91.39 | val loss:0.705 acc:78.33
Epoch:0240 train loss:0.334 acc:91.67 | val loss:0.718 acc:77.91
Epoch:0270 train loss:0.344 acc:90.20 | val loss:0.705 acc:78.60
Epoch:0300 train loss:0.289 acc:92.40 | val loss:0.741 acc:78.33
Epoch:0330 train loss:0.281 acc:90.84 | val loss:0.733 acc:77.23
6 : 81.14
Epoch:0030 train loss:1.271 acc:64.10 | val loss:1.332 acc:63.79
Epoch:0060 train loss:0.903 acc:83.97 | val loss:1.071 acc:70.78
Epoch:0090 train loss:0.655 acc:88.74 | val loss:0.898 acc:70.92
Epoch:0120 train loss:0.496 acc:92.40 | val loss:0.817 acc:72.29
Epoch:0150 train loss:0.414 acc:92.31 | val loss:0.793 acc:72.98
Epoch:0180 train loss:0.362 acc:94.41 | val loss:0.772 acc:73.53
Epoch:0210 train loss:0.337 acc:94.05 | val loss:0.784 acc:74.07
Epoch:0240 train loss:0.319 acc:93.13 | val loss:0.764 acc:72.43
Epoch:0270 train loss:0.281 acc:93.96 | val loss:0.784 acc:73.53
Epoch:0300 train loss:0.251 acc:95.70 | val loss:0.785 acc:74.07
7 : 78.51
Epoch:0030 train loss:1.252 acc:67.03 | val loss:1.284 acc:69.96
Epoch:0060 train loss:0.885 acc:80.77 | val loss:0.995 acc:74.62
Epoch:0090 train loss:0.635 acc:87.27 | val loss:0.845 acc:75.86
Epoch:0120 train loss:0.492 acc:90.29 | val loss:0.768 acc:75.45
Epoch:0150 train loss:0.448 acc:88.55 | val loss:0.740 acc:75.99
Epoch:0180 train loss:0.376 acc:90.57 | val loss:0.725 acc:75.99
Epoch:0210 train loss:0.326 acc:93.04 | val loss:0.722 acc:76.41
Epoch:0240 train loss:0.330 acc:91.94 | val loss:0.721 acc:75.86
Epoch:0270 train loss:0.325 acc:91.85 | val loss:0.724 acc:76.95
Epoch:0300 train loss:0.277 acc:92.95 | val loss:0.744 acc:75.31
8 : 78.95
Epoch:0030 train loss:1.282 acc:63.83 | val loss:1.336 acc:62.41
Epoch:0060 train loss:0.888 acc:81.87 | val loss:1.036 acc:72.43
Epoch:0090 train loss:0.645 acc:87.00 | val loss:0.875 acc:73.11
Epoch:0120 train loss:0.512 acc:88.46 | val loss:0.794 acc:74.21
Epoch:0150 train loss:0.431 acc:91.67 | val loss:0.774 acc:73.80
Epoch:0180 train loss:0.378 acc:90.38 | val loss:0.737 acc:74.49
Epoch:0210 train loss:0.339 acc:91.39 | val loss:0.736 acc:75.58
Epoch:0240 train loss:0.321 acc:91.85 | val loss:0.752 acc:74.62
Epoch:0270 train loss:0.291 acc:92.40 | val loss:0.738 acc:75.72
Epoch:0300 train loss:0.282 acc:92.86 | val loss:0.758 acc:74.76
Epoch:0330 train loss:0.278 acc:91.94 | val loss:0.769 acc:74.49
Epoch:0360 train loss:0.240 acc:94.51 | val loss:0.763 acc:74.76
9 : 76.32
Train cost: 6636.0522s
Test accuracy: 78.5088, 1.17
